timestep,Production,Injection,Pause,fluid_mass,temp,produced_T
277,0,0,1,1E7,50,34.632497071926
278,0,0,1,1E7,50,34.623952258844
279,0,0,1,1E7,50,34.615004962208
280,0,0,1,1E7,50,34.605737082166
281,0,0,1,1E7,50,34.596210313777
282,0,0,1,1E7,50,34.58647145302
283,0,0,1,1E7,50,34.576556718046
284,0,0,1,1E7,50,34.566494468761
285,0,0,1,1E7,50,34.556307169368
286,0,0,1,1E7,50,34.54601286464
287,0,0,1,1E7,50,34.535626206054
288,0,0,1,1E7,50,34.52515932288
289,0,0,1,1E7,50,34.514622326448
290,0,0,1,1E7,50,34.504023608569
291,0,0,1,1E7,50,34.493370537381
292,0,0,1,1E7,50,34.482669476055
293,0,0,1,1E7,50,34.471925929127
294,0,0,1,1E7,50,34.461144754159
295,0,0,1,1E7,50,34.450330265576
296,0,0,1,1E7,50,34.439486453993
297,0,0,1,1E7,50,34.428616714151
298,0,0,1,1E7,50,34.417724248945
299,0,0,1,1E7,50,34.406811966572
300,0,0,1,1E7,50,34.395882521504
301,0,0,1,1E7,50,34.384938360341
302,0,0,1,1E7,50,34.373981756621
303,0,0,1,1E7,50,34.363014810752
304,0,0,1,1E7,50,34.352039448878
305,0,0,1,1E7,50,34.341057594246
306,0,0,1,1E7,50,34.330070873101
307,0,0,1,1E7,50,34.319080923272
308,0,0,1,1E7,50,34.308089223095
309,0,0,1,1E7,50,34.297097063375
310,0,0,1,1E7,50,34.286105813501
311,0,0,1,1E7,50,34.27511671108
312,0,0,1,1E7,50,34.264130923475
313,0,0,1,1E7,50,34.253149552557
314,0,0,1,1E7,50,34.242173639946
315,0,0,1,1E7,50,34.231204170962
316,0,0,1,1E7,50,34.220242090564
317,0,0,1,1E7,50,34.209288268861
318,0,0,1,1E7,50,34.198343549536
319,0,0,1,1E7,50,34.187408726519
320,0,0,1,1E7,50,34.17648454858
321,0,0,1,1E7,50,34.165571725734
322,0,0,1,1E7,50,34.15467094549
323,0,0,1,1E7,50,34.143782850331
324,0,0,1,1E7,50,34.132908043799
325,0,0,1,1E7,50,34.122047143732
326,0,0,1,1E7,50,34.111200688149
327,0,0,1,1E7,50,34.100369206427
328,0,0,1,1E7,50,34.089553202504
329,0,0,1,1E7,50,34.078753156104
330,0,0,1,1E7,50,34.067969524041
331,0,0,1,1E7,50,34.057202741305
332,0,0,1,1E7,50,34.046453222033
333,0,0,1,1E7,50,34.035721361013
334,0,0,1,1E7,50,34.025007534285
335,0,0,1,1E7,50,34.014312100028
336,0,0,1,1E7,50,34.003635409093
337,0,0,1,1E7,50,33.992977792714
338,0,0,1,1E7,50,33.982339559857
339,0,0,1,1E7,50,33.971721014519
340,0,0,1,1E7,50,33.961122390171
341,0,0,1,1E7,50,33.950543984866
342,0,0,1,1E7,50,33.939986038979
343,0,0,1,1E7,50,33.929448847387
344,0,0,1,1E7,50,33.918932617643
345,0,0,1,1E7,50,33.908437575157
346,0,0,1,1E7,50,33.897963935564
347,0,0,1,1E7,50,33.88751189904
